#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 20260602    17:59:11       0    257     71      -     34      9      0      0      0      0  13801   2850      0      0 
 20260602    17:59:11       1    231     58      -     64     17      0      0      0      0  13801   2895      0      0 
 20260602    17:59:11       2    245     68      -     64     20      0      0      0      0  13801   2887      0      0 
 20260602    17:59:11       3    255     71      -     64     24      0      0      0      0  13801   2947      0      0 
 20260602    17:59:12       0    249     74      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:59:12       1    222     57      -     63     17      0      0      0      0  13801   2895      0      0 
 20260602    17:59:12       2    255     68      -     41     10      0      0      0      0  13801   2887      0      0 
 20260602    17:59:12       3    258     70      -     27      6      0      0      0      0  13801   2955      0      0 
 20260602    17:59:13       0    248     73      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:59:13       1    231     57      -     27      5      0      0      0      0  13801   2895      0      0 
 20260602    17:59:13       2    250     67      -     65     21      0      0      0      0  13801   2887      0      0 
 20260602    17:59:13       3    255     72      -     64     25      0      0      0      0  13801   2955      0      0 
 20260602    17:59:14       0    272     73      -     49     14      0      0      0      0  13801   2850      0      0 
 20260602    17:59:14       1    222     57      -     64     17      0      0      0      0  13801   2895      0      0 
 20260602    17:59:14       2    245     67      -     63     20      0      0      0      0  13801   2887      0      0 
 20260602    17:59:14       3    255     71      -     64     24      0      0      0      0  13801   2955      0      0 
 20260602    17:59:15       0    266     75      -     65     20      0      0      0      0  13801   2842      0      0 
 20260602    17:59:15       1    222     55      -     67     19      0      0      0      0  13801   2895      0      0 
 20260602    17:59:15       2    257     67      -     53     16      0      0      0      0  13801   2887      0      0 
 20260602    17:59:15       3    256     69      -     23      4      0      0      0      0  13801   2932      0      0 
